OPEN TRIP BEHIKE LUXURY PHINISI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,TANGGAL OPEN TRIP YANG MASIH KOSONG BISA DIBOOKING UNTUK PRIVATE TRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKED,PHOTOS,https://bit.ly/4cXBfOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLD,BOAT,"6 cabins with private bathroom,AC,Sundeck,Dinning Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAILABLE,FACILITIES,"Transportation In & Out, Snorkeling Gear, Guide & Documentations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,CABIN,,MEI,,,,JUNI,,,,JULI,,,,,AGUSTUS,,,,,,,,SEPTEMBER,,,,,,,,,OKTOBER,,,,,,,,,NOVEMBER,,,,,,,,DESEMBER,,,,,,,,
,,,9-11,16-18,23-25,30-1,6-8,13-15,20-22,27-29,4-6,11-13,18-20,25-27,28-30,1-3,4-6,7-9,15-17,18-20,22-24,25-27,29-31,1-3,5-7,8-10,12-14,15-17,19-21,22-24,26-28,29-01,3-5,6-8,10-12,13-15,17-19,20-22,24-26,27-29,31-2,3-5,7-9,10-12,14-16,17-19,21-23,24-26,28-30,1-3,5-7,8-10,12-14,15-17,19-21,22-24,26-28,29-31
1,MASTER PANORAMIC BALCONY,UPPER DECK(Double Bed ),,,,,,,Phinisi trip IND,Land & sea bajo,,Inspire trvl,Bajo dream trvl,,Sbstn-Alexis,Private,LBJ Amaze,TRAVASS,FSPX,Rossy-Stephen,Phinisi Trip ind,TRAVASS(Klarida),Nayaka surf,Slm Rnsl,BEHIKE,,IJT-8756,,BEHIKE,,Komlux-5880,,,,,,,,,,,,Komlux-9439,,,,,,,,,,,,,,,
,,Ocean View + Private Bathroom + Private Balcony + Jacuzzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MASTER SUITE BALCONY,MAIN DECK (Double Bed),,,,,,,,,,komodo lux-7845,Fspx,,Phinisi trip ind,,LBJ Amaze,TRAVASS 3pax,Wetravel,Nusa Floreswisata,Phinisi Trip ind,EIT,SLM RNSL,Komlux-6519,Costa,Phinisi trip ind,KOMLUX-6063,Komlux-6457,KOMLUX-9592,,KOMLUX-9566,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ocean View + Private Bathroom + Private Balcony + Jacuzzi,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DELUXE CABIN 1,LOWER DECK(Double Bed),,,,,,,,LBJ Holiday,,TRAVASS(Heloise),Komodolux-7827,, OierÂ Aizpurua - Rossy,,Travas(tom),Travass-Alessio,Paolo - Rossy,Alesandro-Rossy,Travass-Valentina,Travass-Paola,Capt Komodo - Laura,,TRAVASS-Kretli,,Travass-David,,BEHIKE,,,,,,,,,Ocean academy,,,,,,,,,,,,,,,,,,,,
,,Private Bathroom + Dressing Table,,,,,,,,,Prvt trip 6-10 Juli,,,,,,,,,,,,,Alexandra tour,,,,,,,,PRVT 1-4 OKT,,Prvt 7-9 ,prvt 12-13,prvt 12-13,,,,,,,,,,,,,,,,,,,,,,
4,DELUXE CABIN 2,LOWER DECK(Double Bed),,,,,,,,,,TRAVASS(Dini),Komodolux(1pax),,TRAVASS-Jeanne,,Manuela-Rossy,Travass-Evelyn,BLUE SKY,Amaze V,Amaze V,TRAVASS-Gilles,,,,,Slm rnsl,,KOMLUX-3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Private Bathroom + Dressing Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DELUXE CABIN TWIN 3,LOWER DECK(Twin Bed),,,,,,,,SBSTN,,,Travass(patrick),,Rossy-Eric,,Louis-Rossy,Komodo lux-4207,BLUE SKY,Capt Komodo-Ricardo,Phinisi Trip ind,Capt Komodo-Alix,TRAVASS (Oriol),TRAVASS-Marloes),Travas-Lisa,Phinisi trip ind,KOMLUX-6013,,,,Komlux-5880,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Private Bathroom,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DELUXE CABIN TWIN 4,LOWER DECK(Twin Bed),,,,,,,,,,Komlux-0210,Komodolux-5651,,Phinisi trip ind,,Manuela-Rossy,Travass(Amedeo),BLUE SKY, Wanderis-1232,,TRAVASS ,TRAVASS (Oriol),,Costa,,,,TRAVAS-Sebastian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Private Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOM,PUBLISH PRICE,AGENT COMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER PANORAMIC BALCONY,Rp 10.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER SUITE BALCONY,Rp 9.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN 1,Rp 7.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN 2,Rp 7.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN TWIN 3,Rp 5.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELUXE CABIN TWIN 4,Rp 5.500.000 /pax,Rp 1.000.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
