,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OT SIP LIVEABOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES :,TANGGAL OPEN TRIP YANG MASIH KOSONG BISA DIBOOKING UNTUK PRIVATE TRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKED,PHOTOS          ,https://shorturl.at/CHFtm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLD,BOAT         ,"5 cabins with private bathroom each cabins, Sundeck, Dinning Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAILABLE,FACILITIES,"Transportation In & Out, Snorkeling Gear, Guide & Documentations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,CABIN,,APRIL,,,,,MEI,,,,,,,,JUNI,,,,,,,,,JULI,,,,,,,,AGUSTUS,,,,,,,,,SEPTEMBER,,,,,,,,,OKTOBER,,,,,,,,,NOVEMBER,,,,,,,,DESEMBER,,,,,,,,
,,,4-6,7-9,11-13,18-20,25-27,2-4,9-11,12-14,16-18,19-21,23-25,26-28,30-1,2-4,6-8,9-11,13-15,16-18,20-22,23-25 ,27-29,30-02,4-6,7-9,11-13,14-16,18-20,21-23,25-27,28-30,1-3,4-6,8-10,11-13,15-17,18-20,22-24,25-27,29-31,1-3,5-7,8-10,12-14,15-17,19-21,22-24,26-28,29-01,3-5,6-8,10-12,13-15,17-19,20-22,24-26,27-29,31-2,03-05,7-9,10-12,14-16,17-19,21-23,24-26,28-30,1-3,5-7,8-10,12-14,15-17,19-21,22-24,26-28,29-31
1,MASTER OCEAN 1,Main Deck (Double bed),Akon ,,,,,,Keisertravel,FLORES CHARM ,,,,LBJ SUPER,,,komodotrip,,,,Fspx,,Easy Komodo,George bajo,,,,,,ROSSY,,,,,,,,,Skyeast,,IJT-6913,SLM RNSL,VIKI,IJT-1796,,George,Phinisi trip ind,,Slm rnsl,KL,Inspire travel,,,Phinisi trip ind,,,,,Viki,,,,,,,,,,,,,,,,,
,,Ocean View + Private Bathroom,,,,,,,Keisertravel,,,,,,,,,,,,,,,,,,,,,ROSSY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PRIVATE CABIN 2,Main Deck (Double bed),Wetravel,,,,,,Land & Sea BAJ,Salam Ransel,,,,LBJ SUPER,,,Fspx,Salam Ransel Ind,,,Fspx,,Easy Komodo,SALAM RANSEL,,,,,,Komodo sailing tour,,,,,,,,,,,WANDERLUST,Katura,Eastnesiatrip ,Bento,PHINISI TRIP IND,Phinisi trip ind,KL,,,Indahnesia,Inspire travel,,,,IJT-2065,,,,,,,,,,,KL,,,,,,,,,,
,,Ocean View + Private Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,Prvt 16-18,Prvt 16-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PRIVATE CABIN 3,Main Deck (Double bed),Wetravel,,,,,,Salam Ransel,Salam Ransel,,,,KMT,,,Fspx,,,,Wanderlust,,Easy Komodo,Bolang tour,,,PRVT 9-11,,,Komodo sailing tour,,,,,,,,,IJT-4098,,KL,BOLANG TOUR,Eastnesiatrip ,,Bolang Tour,Felix,IJT-8534,,,,Indahnesia,,,WANDERIS-2326),,,,,,,,,,,,,,,,,,,,,,
,,Ocean View + Private Bathroom,,,,,,,,,prvt trip 15-17,,BNV TRIP,,INDIE TRV,,,,,,,,,,PRVT 6-8,PRVT 6-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PRIVATE CABIN 4,Main Deck (Double bed),Phinisi Trip IND,,,,,,Dive Trip IND,,,,,KL,,,,,,,,,Kmd Hping Islnd,Toare,,,,,,Lyladventure ,,,,,,,,,slm rnsl,,WANDERLUST,Wanderlust,Eastnesiatrip ,,,TB-Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ocean View + Private Bathroom,,,,,,,,FLORES CHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SHARING CABIN,Upper Deck (Single bunk bed),Indietravel ,,,,,,Slmn bajo,Salam Ransel,,,,LBJ SUPER,,,,Kemilau IND,,,,,Easy Komodo,SALAM RANSEL,,,,,,SLM RNSL,,,,,,,,,,,,,Wanderis-6787,Bento,IJT-8131,WANDERLUST,IJT-2261,Phinisi trip ind,,,Indahnesia,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Fspx,,,,Pipin,,,,,,,,,KHAI,,,,,,,,,KGT,,IJT,,,,Slm rnsl,,,IJT-4768,,,,,,Wanderis-7339,,,,,,,,,,,,,,,,,,,,,,
,,Ocean View + Private Bathroom,,,,,,,ARAH PESONA,,,,,,,,,komodo wisata,,,,,,Toare,,,,,,,,,,,,,,,,,Phinisi trip ind,,,,Slm rnsl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,George bajo,,,,,,,,,,,,,,,,,,,,WETRAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOM,PUBLISH PRICE,AGENT COMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER OCEAN 1, Rp 4.250.000 /pax,Rp 500.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE CABIN 2,Rp 4.000.000 /pax,Rp 500.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE CABIN 3,Rp 4.000.000 /pax,Rp 500.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE CABIN 4,Rp 4.000.000 /pax,Rp 500.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARING CABIN,Rp 3.250.000 /pax,Rp 500.000 /pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
